n_types,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,cand_e_core,record_id,origin,cell,e_target,feed,library_id,case_id,support_class,M_HM_tU,B_cycle,B_d
2,4,,676.2808960330165,1.2248843099214035,1.5126724873625705,1.9057017093926445,1438.8864847980517,0.04212230705490019,72.94050977645388,5.4,e1db38af0322c4511d6ca69ee8b7db7a2d13992288b8ad3fd2b0b99447ed1b99,guided,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.39995428489521,52.581727129419384
2,5,,676.487918030357,0.8644714801302976,1.5177134295035215,1.915450979042739,1436.439873001993,0.041605965896917306,72.9887958841554,5.4,84f6b10824c62cde6df0049882c70c2b51725653668e6d9bb56594c252794fa3,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.40803579554828,52.59782336138129
2,6,,676.9851927938973,1.3644829117887725,1.5202164540444392,1.9151408852197014,1445.3808591910956,0.041763214759540895,72.98046039966485,5.4,3c2348d193518768f21caf4082b2e22578b1fc45cd5f08ebc472cd5f1c17b965,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.427447893541146,52.63648712680509
2,7,,677.574504139984,0.7454493463704729,1.5244480218059198,1.9240398845410247,1445.598557917784,0.04108832396031886,72.87304454833132,5.4,42be9b6764c0a72c7373b5b397658ecaddbdaefb4ba98cb9ef0048a24db71abf,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.45045282046946,52.68230685729868
2,8,,679.234247043404,1.129278035871381,1.5372570482836605,1.9217134829657778,1417.1896432426834,0.04958214141993018,74.26606964395644,5.4,73767a0564ec1c615943353b604c61404ee3fcca3d68fa267ae81c2be795adac,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.51524414761177,52.811354046069724
2,9,max_cyclen,680.3031196953076,1.2719320676748127,1.5410468055323465,1.9307813521699682,1426.9984254479405,0.04855223117146668,74.5389794765857,5.4,61e327f6efbbb3d4bf66094313bb14e85be984b3f64c7a82d253ee08832384e0,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.556969692887638,52.8944602974043
2,0,min_f_r,681.3958074362329,0.9799724735178542,1.5310858713712947,1.918433609856615,1442.7756872890668,0.04056749728127405,72.19349906461636,5.4,7382df2b0b47fdce9532c2908f94abe41e03ebf343788d4369c92118c64ef6fd,guided,e5.4_f125,5.4,125,ga80,N1_N2,"trained (74,537 rows)",102.031,26.599624906981816,51.28407682066094
2,1,knee,682.7318130931906,1.1224951229417885,1.5329641117209947,1.9214146104717365,1446.8214003693038,0.03965216265220922,72.26036058707814,5.4,408ffb839af1ca8371fdcab848d62d0fa61f315df62a1c8b638f06dbe61662f9,elite,e5.4_f125,5.4,125,ga80,N1_N2,"trained (74,537 rows)",102.031,26.65177851426976,51.38462897551209
2,2,max_cyclen,685.3512112099968,0.7365028456830308,1.5481264087621511,1.9334724607419644,1412.7631435468106,0.04771172371642882,73.12287996816514,5.4,65778d091afee5f7ad90fcc91441be16e8b4d33a1ced08bfb723aadab29d8a2e,elite,e5.4_f125,5.4,125,ga80,N1_N2,"trained (74,537 rows)",102.031,26.754031869263613,51.58177344394025
2,0,min_f_r,690.2190121009648,0.8583255282451537,1.5201624805686265,1.9085374131720847,1527.4317482289525,0.041083283300112,73.78775917375337,5.5,d4f3622723a47df0441aee62209418fb017ab5dcac9590f96404f890c046c36c,guided,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,26.94405604670726,53.66543394426818
2,1,knee,691.4635047682419,0.467113619743271,1.5225273763692155,1.9118044413445177,1528.7070753380074,0.0406536307223738,73.50305356422268,5.5,7377af6b52ae3789b91fd193380f0b946814d369124396c623e81409f0c0f219,guided,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,26.992637264536608,53.76219488225887
2,2,,691.5999652829414,0.49152996261944865,1.5291548421255863,1.9191911684984932,1528.5156928775195,0.040206430314501905,73.37796905614377,5.5,60cdb6301604c670295a343f6ac5bc0df2996dd448183565349d90b4fc7e040d,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,26.997964268997162,53.77280486634972
2,3,,691.8076037022064,0.5898820156945087,1.5336436406106009,1.9234541495279893,1531.3238076251164,0.04007928459436641,73.40201617150213,5.5,3567a6ebd9859016b11ffa1539388bafa2e49a3c7a609435c27c7417913c4470,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.006069842891886,53.78894902592516
2,4,,692.2010415042696,1.4187361127287832,1.5395250295413927,1.9293999376177793,1510.678171455087,0.04297498828657466,74.15877906971015,5.5,162e8f057e9e1f60c470a38d2fa4dc4b4f0b221b37631132c9f645616dafe203,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.021428460959235,53.81953933133203
2,5,,692.2503702152034,0.6215977532948777,1.5396319952656992,1.9336700717786133,1535.5567570170172,0.041460793536724654,73.60993147890338,5.5,91055e5e7e98fa576844be10c99690ba731035ae2e4dd2abc13b63ccd9ecdf06,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.02335410416641,53.8233747033397
2,6,,692.5591885723263,1.2190912194368915,1.5431027249182396,1.934335269108746,1522.286524773811,0.04224697375096581,74.19048759574082,5.5,c5c38f3783d135149cc9ee921de01d85790094f0e617aeeed1537cc91f28ca2d,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.035409435846194,53.84738573585895
2,7,,692.6486689141303,0.8204740806807972,1.5455748965668787,1.9367632086447621,1548.4770272081676,0.04130513268769051,74.50232933411792,5.5,7cc0af241911f2bf4a0ff98d0fb4c023c9a8458f43bd2f884eb4d531bdcc18fc,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.03890247689893,53.854342949856544
2,8,max_cyclen,692.65990119492,1.324482435858913,1.5456831702043654,1.9366171509185437,1553.4467354672552,0.039316001373614684,74.46414820149047,5.5,7af9147b3c8bbd5fa78ad42905dad069dd20cd6e147e3d8b98ce3ef124b3ea38,elite,e5.5_f121,5.5,121,ga80,G3_G4,"trained (74,537 rows)",102.031,27.03934095106122,53.85521627442772
