segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.1,121,95,1.5175,638.3,49.96,644.9,50.4,J1_J2,"J2 x73, J1 x48",100,40,0.007189260940435788,-0.0077776131967619965,0.02292054231472407,-0.014673754379234651,1.4712,1.4925951213912327,304,646.6705055178052,648.5744855481015,J1_J2,1.485405860450797,-0.024904878608767334,-0.03209413954920315,-0.04630000000000001,0.014205860450796859,model-right
5.2,101,171,1.5115,581.6,54.47,586.4,54.9,K1_K2,"K1 x60, K2 x41",0,0,,,,,,,-1,,,,,,,,,not-in-mesh
5.2,105,154,1.5227,603.4,54.33,605.0,54.48,K1_K2,"K1 x80, K2 x25",0,0,,,,,,1.6987949075642812,0,,594.8674634841498,K1_K2,,0.17609490756428126,,,,pool-starved
5.2,109,53,1.5409,624.2,54.16,625.1,54.25,K5_K6,"K5 x64, K6 x45",100,40,0.033257343176687174,0.00218954574165515,0.06508283549062095,-0.017203122295105688,1.7254,1.6658650160673107,0,,609.4237916948102,K1_K2,1.6326076728906236,0.12496501606731081,0.09170767289062365,0.1845000000000001,-0.09279232710937646,pool-starved
5.2,113,28,1.5442,634.4,53.12,637.7,53.37,K5_K6,"K5 x61, K6 x52",55,40,-0.007545244200610734,-0.023107461807428918,0.04091363439000527,-0.15148694189853235,1.6116,1.6204618416403975,0,,631.1860111566465,K1_K2,1.6280070858410083,0.07626184164039751,0.08380708584100827,0.0673999999999999,0.016407085841008362,pool-starved
5.2,117,392,1.5168,647.4,52.35,651.2,52.63,K1_K2,"K1 x61, K2 x56",100,40,0.021145693288059948,-0.0001618457263636741,0.02537217668827712,-0.21384243690619997,1.5234,1.5271231783394796,46,646.3231067213015,647.1745796579042,K1_K2,1.5059774850514196,0.01032317833947971,-0.01082251494858033,0.006600000000000161,-0.017422514948580492,model-right
5.2,121,68,1.5231,656.1,51.36,659.3,51.58,K1_K2,"K2 x65, K1 x56",100,40,-0.012181923562928732,-0.01671810546349662,0.03317005670097956,-0.05055079614792021,1.4902,1.4965616224724694,287,657.3277216206272,659.7454417061832,K1_K2,1.5087435460353982,-0.02653837752753052,-0.014356453964601723,-0.03289999999999993,0.018543546035398206,model-right
5.3,101,225,1.5137,592.5,55.47,595.4,55.75,L3_L4,"L3 x64, L4 x37",100,40,0.03116379089881438,0.001848806991591616,0.059728149662211905,0.2671669615100745,1.7515,,-1,,,,,,,0.2378,,not-in-mesh
5.3,105,411,1.5059,612.0,55.1,613.4,55.23,L5_L6,"L5 x80, L6 x25",48,40,0.011560752225436687,-0.028999648762416546,0.07070321008190984,-0.1182266452006407,1.8046,1.757394362126364,0,,594.4593469809286,L1_L2,1.7458336099009273,0.2514943621263639,0.23993360990092727,0.29869999999999997,-0.058766390099072696,pool-starved
5.3,109,120,1.5304,635.7,55.16,637.1,55.28,L3_L4,"L3 x60, L4 x49",100,40,0.05123203035481992,0.0036180488656224717,0.06176805051434953,0.2961672344519195,1.6846,1.6702276858935128,0,,614.5930744829932,L1_L2,1.6189956555386928,0.1398276858935128,0.08859565553869286,0.15420000000000011,-0.06560434446130725,pool-starved
