cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds,ceil_cyclen,ceil_B_cycle,ceil_B_d,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span
e5.8_f117,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,117,0.42293,101.925,1200,1200,0,,,,,,,,,,1.777798814021316,731.5801418550982,731.5801418550982,2.094132817052853,3587,234,1374,22,False,,,165.9,731.5801418550982,28.588508265968663,58.88744010340553,0,,,,
e5.8_f121,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,121,0.42293,101.925,1200,1200,0,,,,,,,,,,1.798863442261283,745.1792508706134,745.1792508706134,2.442015043122596,44292,63,1991,34,True,,,166.9,745.1792508706134,29.119930892495983,57.999201199103574,0,,,,
e5.9_f105,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,105,0.42323,101.998,1200,846,0,,,,,,,,,,1.924830744015794,676.176098720745,676.176098720745,2.055971124952655,285,0,0,0,False,,,148.1,676.176098720745,26.40453147321249,60.60468652423057,0,,,,
e5.9_f109,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,109,0.42323,101.998,1200,826,0,,,,,,,,,,1.8715232632782723,699.5128382114535,699.5128382114535,2.886756338601159,3934,324,2171,0,False,,,151.3,699.5128382114535,27.31582613969116,60.39554219876669,0,,,,
e5.9_f113,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,113,0.42323,101.998,1200,1053,0,,,,,,,,,,1.8499682418676708,721.855864821767,721.855864821767,2.3074842035795395,665,12,12,0,False,,,150.4,721.855864821767,28.188316531550598,60.118444992068085,0,,,,
e5.9_f117,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,117,0.42323,101.998,1200,716,0,,,,,,,,,,1.814716583797532,738.4085879122546,738.4085879122546,2.4611689565267745,3587,100,1374,0,False,,,150.7,738.4085879122546,28.834696814197436,59.39454642924429,0,,,,
e5.9_f121,5.9,5.9,1,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908702994861528,0.1671841053106701,,121,0.42323,101.998,1200,749,0,,,,,,,,,,1.808278658533127,753.3200652661614,753.3200652661614,4.097602106575779,44292,82,1991,0,True,,,143.9,753.3200652661614,29.416986803222816,58.59085801303057,0,,,,
e6.0_f105,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,105,0.42408,102.203,1200,1140,0,,,,,,,,,,1.8820019291461207,716.408198202064,716.408198202064,2.464683226466893,285,0,0,0,False,,,166.6,716.408198202064,27.91947255402308,64.08183700494821,0,,,,
e6.0_f109,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,109,0.42408,102.203,1200,1132,0,,,,,,,,,,1.8355813281854296,737.9528164811184,737.9528164811184,2.1287301006346984,3934,1,2171,0,False,,,166.2,737.9528164811184,28.759097756859333,63.586628985349535,0,,,,
e6.0_f113,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,113,0.42408,102.203,1200,1136,0,,,,,,,,,,1.7883086834037354,759.8631295302617,759.8631295302617,5.166362774594852,665,0,12,0,False,,,164.1,759.8631295302617,29.612974618348115,63.156875070990225,0,,,,
e6.0_f117,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,117,0.42408,102.203,1200,1136,0,,,,,,,,,,1.755528319219425,779.2874097885075,779.2874097885075,2.236499688531318,3587,0,1374,0,False,,,166.2,779.2874097885075,30.369967155441866,62.556940892833246,0,,,,
e6.0_f121,6.0,6.0,1,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025507875529617,0.0665891098390663,,121,0.42408,102.203,1200,1135,0,,,,,,,,,,1.7401979333881372,796.354567892589,796.354567892589,2.9181493962551204,44292,0,1991,0,True,,,166.2,796.354567892589,31.035099203704213,61.81370998423731,0,,,,
