d,n,gam,gam_abs,target
30,27455,0.7725871515972389,11.056298996958667,cyclen
31,28339,0.8515685259780099,12.116749697678118,cyclen
32,29296,0.8876038904264699,12.670635156096408,cyclen
33,30812,0.9204462232099161,12.936365791801906,cyclen
34,32312,0.9042229956628927,12.551104953546673,cyclen
35,33379,0.9260123277183664,12.669696023053426,cyclen
36,34772,0.9223161700302228,12.37751355924308,cyclen
37,34651,0.9476123341099881,12.790408663732658,cyclen
38,34739,0.9769439082029973,13.354983181078909,cyclen
39,33755,0.9262605719425818,12.52032308295068,cyclen
40,34555,0.8865962976755281,11.587974578006085,cyclen
41,37418,0.8670929817110247,11.173545062336313,cyclen
42,37974,0.8318272003129296,10.339549396244802,cyclen
43,42751,0.8065442277549741,9.755187859009153,cyclen
44,47757,0.8476067603902405,9.89645697965743,cyclen
45,50806,0.838223890158896,9.384875723821986,cyclen
46,50926,0.7661742330430732,8.768196945145892,cyclen
47,49293,0.7019524954901654,8.767129329945426,cyclen
48,58607,0.6935171077757489,8.8013046808743,cyclen
49,68346,0.768995054978473,10.570618739428788,cyclen
50,73860,0.893231580473627,12.564128403635257,cyclen
51,76962,0.9006562606175305,14.401605986701233,cyclen
52,92467,0.9677057689142233,16.531080747796516,cyclen
53,113292,1.028621264998956,18.46645823084155,cyclen
54,158046,1.0536645305599734,18.81738045561419,cyclen
55,214391,1.0956225924042873,19.890248597795622,cyclen
56,263887,1.1360026225918425,21.281736105651284,cyclen
57,294847,1.1958097051963632,23.43756384499418,cyclen
58,323432,1.2237761939239156,24.025558511526377,cyclen
59,349596,1.1944229055463846,23.461155443127215,cyclen
60,354163,1.1955058749142713,23.78819867161448,cyclen
61,306535,1.1699029862504249,23.323233155624973,cyclen
62,259944,1.1818468768941763,23.475544929075106,cyclen
63,167507,1.2208724131346198,25.726917901732467,cyclen
64,92395,1.2255313483041623,27.489113288733158,cyclen
65,41751,1.1768458848116299,28.73940951591578,cyclen
66,14612,1.1093197468792133,28.706693633349303,cyclen
67,3106,1.134479398528724,30.746059171925296,cyclen
68,373,0.8017245742944978,24.825130872654164,cyclen
69,12,1.1145348321214386,12.890772583333302,cyclen
1,393,0.030869431142327857,0.003119208346055981,f_q
2,4616,0.04794628221739306,0.004599887758882149,f_q
3,6130,0.1314204501772082,0.013685047466557913,f_q
4,12056,0.14111644808888055,0.014798032845885867,f_q
5,18091,0.21231304423859076,0.021363682493781438,f_q
6,20617,0.2883379921954011,0.025499469400979774,f_q
7,22622,0.30837449462943695,0.02878587006188666,f_q
8,22985,0.3261952375309193,0.03161796122210137,f_q
9,23124,0.36551009886821045,0.036115227522919915,f_q
10,23467,0.34531024949844363,0.03508763173989006,f_q
11,23723,0.3799375021928069,0.03999868474244404,f_q
12,23995,0.3850335858032852,0.04155569859324859,f_q
13,23919,0.422570812106477,0.04370582694008947,f_q
14,23587,0.4482866706846164,0.04977730991775131,f_q
15,23684,0.45289901702503055,0.05295156450768451,f_q
16,23607,0.418424187219384,0.05375824263629432,f_q
17,23714,0.4334367113739774,0.05537532149827106,f_q
18,23814,0.4562610457960121,0.05947114263899387,f_q
19,23564,0.46523558249060143,0.06414461274486505,f_q
20,24042,0.49118755962097127,0.0703745009789119,f_q
21,23913,0.5062075376754813,0.07126486762953206,f_q
22,24223,0.5272871035642149,0.0793644447399166,f_q
23,24022,0.589155236857012,0.09013719079219049,f_q
24,24055,0.5984535751743086,0.09523275813926418,f_q
25,24566,0.6038900469611664,0.09968113352153382,f_q
26,25207,0.6127726976817994,0.09946581583667236,f_q
27,25454,0.6234666765684512,0.10270808411349887,f_q
28,26279,0.6174032095312096,0.10525536406940904,f_q
29,26899,0.6841635701935764,0.11823554798486934,f_q
30,27455,0.7019308306680221,0.12026496856146421,f_q
31,28339,0.6866781310411815,0.12268741959578672,f_q
32,29296,0.6585786145050994,0.1179138234139473,f_q
33,30812,0.6116464373214288,0.10849704872046606,f_q
34,32312,0.5641409655209612,0.09106295680134316,f_q
35,33379,0.5453719761164307,0.08216658518769286,f_q
36,34772,0.5476629195644772,0.07356296540219143,f_q
37,34651,0.485865273067087,0.06463667569752676,f_q
38,34739,0.4989596346196163,0.06624389695241659,f_q
39,33755,0.54517235491202,0.06654283967989927,f_q
40,34555,0.5997933801521802,0.07196814214353929,f_q
41,37418,0.5948928929012114,0.07059458136257951,f_q
42,37974,0.6462266575849243,0.07120112616487598,f_q
43,42751,0.6753404581626447,0.06739282368108349,f_q
44,47757,0.6622151292377598,0.06104588714397889,f_q
45,50806,0.6474916175755318,0.057087919375073806,f_q
46,50926,0.6515339671920605,0.05670493078083886,f_q
47,49293,0.611527077765168,0.055073021733004685,f_q
48,58607,0.5705295850261706,0.054629221249424126,f_q
49,68346,0.6410691545302118,0.062015089230386566,f_q
50,73860,0.6153987696615388,0.06773157934362307,f_q
51,76962,0.7207536279019295,0.08638146635833269,f_q
52,92467,0.8361804590066673,0.10677669960288536,f_q
53,113292,0.866651148057484,0.12220997702159023,f_q
54,158046,1.0798332478158696,0.15018492996950256,f_q
55,214391,1.0860981592968368,0.15371949940321655,f_q
56,263887,1.1352704750942313,0.16250619920363643,f_q
57,294847,1.203293387710461,0.1806044410554118,f_q
58,323432,1.2710537998983735,0.19768130481268087,f_q
59,349596,1.4474446978944444,0.22875778932470625,f_q
60,354163,1.3266164238987328,0.22394901749571525,f_q
61,306535,1.2965706940249389,0.22768095711771902,f_q
62,259944,1.2452577193835377,0.22745437763758733,f_q
63,167507,1.2381382649409125,0.2566642911528772,f_q
64,92395,1.2498940886486096,0.28356985763742626,f_q
65,41751,1.393267426068026,0.3325202019595938,f_q
66,14612,1.1488560471839997,0.3430304583523816,f_q
67,3106,2.003355553811052,0.513258963015132,f_q
68,373,3.3669538153307697,0.8154350427613941,f_q
69,12,11.2359624186846,1.0545314375,f_q
1,393,0.02898920450856176,0.0009456302926208648,f_r
2,4616,0.055130111364414085,0.002129474867850953,f_r
3,6130,0.13405564912282683,0.00606907864274062,f_r
4,12056,0.14585810996245602,0.006672270661911081,f_r
5,18091,0.21693287773694386,0.009520527718478802,f_r
6,20617,0.2995752452568386,0.011908046503371003,f_r
7,22622,0.31633969023706965,0.013160792182388826,f_r
8,22985,0.3387763793742285,0.014568586969545355,f_r
9,23124,0.3746317509242487,0.016429055989664418,f_r
10,23467,0.35699758577834917,0.015967554466697915,f_r
11,23723,0.3889361135605594,0.01799385896745774,f_r
12,23995,0.3953376214611609,0.018899354340904354,f_r
13,23919,0.44462800978917477,0.02033806296626113,f_r
14,23587,0.45682215014255606,0.022485087747488024,f_r
15,23684,0.47318846193828124,0.024129369283693632,f_r
