case_pair,feed,slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,p_orig,p_tp_detransposed,d
E3_E4,141,46,5,2,interior,4,5.385164807134504,False,False,1.2681000232696533,1.2675000429153442,0.000599980354309082
E3_E4,141,47,5,3,interior,4,5.830951894845301,False,False,1.0018999576568604,1.0009000301361084,0.0009999275207519531
E3_E4,141,48,5,4,interior,4,6.4031242374328485,False,False,0.792900025844574,0.791700005531311,0.0012000203132629395
E3_E4,141,49,5,5,interior,4,7.0710678118654755,False,True,0.6377999782562256,0.6371999979019165,0.000599980354309082
E3_E4,141,50,5,6,interior,4,7.810249675906654,False,False,0.46480000019073486,0.46399998664855957,0.000800013542175293
E3_E4,141,51,5,7,interior,4,8.602325267042627,True,False,0.273499995470047,0.2732999920845032,0.00020000338554382324
E3_E4,141,52,6,0,vertical_axis,2,6.0,False,False,0.6765999794006348,0.6761999726295471,0.0004000067710876465
E3_E4,141,53,6,1,interior,4,6.082762530298219,False,False,0.7272999882698059,0.7253999710083008,0.001900017261505127
E3_E4,141,54,6,2,interior,4,6.324555320336759,False,False,0.848800003528595,0.8478999733924866,0.0009000301361083984
E3_E4,141,55,6,3,interior,4,6.708203932499369,False,False,0.8147000074386597,0.8137000203132629,0.0009999871253967285
E3_E4,141,56,6,4,interior,4,7.211102550927978,False,False,0.7472000122070312,0.7462000250816345,0.0009999871253967285
E3_E4,141,57,6,5,interior,4,7.810249675906654,False,False,0.4948999881744385,0.4943000078201294,0.000599980354309082
E3_E4,141,58,6,6,interior,4,8.48528137423857,True,True,0.2912999987602234,0.29089999198913574,0.0004000067710876465
E3_E4,141,59,7,0,vertical_axis,2,7.0,False,False,0.7077999711036682,0.70660001039505,0.001199960708618164
E3_E4,141,60,7,1,interior,4,7.0710678118654755,False,False,0.583899974822998,0.5824000239372253,0.001499950885772705
E3_E4,141,61,7,2,interior,4,7.280109889280518,False,False,0.5608000159263611,0.5598000288009644,0.0009999871253967285
E3_E4,141,62,7,3,interior,4,7.615773105863909,False,False,0.5238999724388123,0.5231999754905701,0.0006999969482421875
E3_E4,141,63,7,4,interior,4,8.06225774829855,True,False,0.4424000084400177,0.44190001487731934,0.0004999935626983643
E3_E4,141,64,7,5,interior,4,8.602325267042627,True,False,0.2467000037431717,0.24639999866485596,0.00030000507831573486
E3_E4,141,65,8,0,vertical_axis,2,8.0,True,False,0.423799991607666,0.42329999804496765,0.0004999935626983643
E3_E4,141,66,8,1,interior,4,8.06225774829855,True,False,0.3418999910354614,0.34119999408721924,0.0006999969482421875
E3_E4,141,67,8,2,interior,4,8.246211251235321,True,False,0.29269999265670776,0.2921999990940094,0.0004999935626983643
E3_E4,141,68,8,3,interior,4,8.54400374531753,True,False,0.2126999944448471,0.21240000426769257,0.000299990177154541
G3_G4,121,0,0,0,center,1,0.0,False,True,1.2740999460220337,1.2791999578475952,-0.0051000118255615234
G3_G4,121,1,0,1,horizontal_axis,2,1.0,False,False,1.1621999740600586,1.1622999906539917,-0.00010001659393310547
G3_G4,121,2,0,2,horizontal_axis,2,2.0,False,False,1.322100043296814,1.3202999830245972,0.0018000602722167969
G3_G4,121,3,0,3,horizontal_axis,2,3.0,False,False,1.3662999868392944,1.3653000593185425,0.0009999275207519531
G3_G4,121,4,0,4,horizontal_axis,2,4.0,False,False,1.2146999835968018,1.2134000062942505,0.0012999773025512695
G3_G4,121,5,0,5,horizontal_axis,2,5.0,False,False,1.1269999742507935,1.1273000240325928,-0.0003000497817993164
G3_G4,121,6,0,6,horizontal_axis,2,6.0,False,False,1.180999994277954,1.1821000576019287,-0.0011000633239746094
G3_G4,121,7,0,7,horizontal_axis,2,7.0,False,False,0.974399983882904,0.9753999710083008,-0.0009999871253967285
G3_G4,121,8,0,8,horizontal_axis,2,8.0,True,False,0.5368000268936157,0.5376999974250793,-0.000899970531463623
G3_G4,121,9,1,0,vertical_axis,2,1.0,False,False,1.1621999740600586,1.1622999906539917,-0.00010001659393310547
G3_G4,121,10,1,1,interior,4,1.4142135623730951,False,True,1.2939000129699707,1.2929999828338623,0.0009000301361083984
G3_G4,121,11,1,2,interior,4,2.23606797749979,False,False,1.1324000358581543,1.131700038909912,0.0006999969482421875
G3_G4,121,12,1,3,interior,4,3.1622776601683795,False,False,1.0961999893188477,1.0994999408721924,-0.0032999515533447266
G3_G4,121,13,1,4,interior,4,4.123105625617661,False,False,1.0916999578475952,1.0982999801635742,-0.006600022315979004
G3_G4,121,14,1,5,interior,4,5.0990195135927845,False,False,1.0910999774932861,1.0942000150680542,-0.0031000375747680664
G3_G4,121,15,1,6,interior,4,6.082762530298219,False,False,1.1819000244140625,1.1836999654769897,-0.001799941062927246
G3_G4,121,16,1,7,interior,4,7.0710678118654755,False,False,0.9070000052452087,0.9093000292778015,-0.0023000240325927734
G3_G4,121,17,1,8,interior,4,8.06225774829855,True,False,0.477400004863739,0.4796000123023987,-0.002200007438659668
G3_G4,121,18,2,0,vertical_axis,2,2.0,False,False,1.322100043296814,1.3202999830245972,0.0018000602722167969
