cell,n,rho,mae,bias,std_true,fold,rho_prior,mae_prior,rho_precal,mae_precal,cell_fitted
6-6.25_f133,30,0.5866518353726363,6.472507449601021,-0.6371038399180141,10.312950028968428,A curr_val,0.578642936596218,46.68011036216812,0.5866518353726363,6.472507449601021,False
6-6.25_f141,56,0.3731373889268626,7.716029188052722,-2.790872930463018,8.204635060538855,A curr_val,0.1120396483625388,57.9069481131413,0.3731373889268626,7.716029188052722,False
6.25-6.5_f101,30,0.6912124582869855,8.575333529914406,7.817069050091352,9.49054251177541,A curr_val,0.3446434552419946,59.28385889351527,0.6912124582869855,8.575333529914406,False
6.25-6.5_f109,33,0.8556149732620322,10.010746428257404,9.861668166513171,10.130224810448537,A curr_val,0.6383085497816345,38.457962895840765,0.8556149732620322,10.010746428257404,False
6.25-6.5_f117,30,0.8411568409343715,5.493488972650263,4.797101846195161,10.964548326100903,A curr_val,0.6141522181420213,19.848625164608347,0.8411568409343715,5.493488972650263,False
6.25-6.5_f125,30,0.7312569521690767,4.470888231375374,1.161836425298937,12.158334423514724,A curr_val,0.6803207216234217,19.163901754171647,0.7312569521690767,4.470888231375374,False
6.25-6.5_f133,30,0.8531701890989989,5.545044072565849,-0.9015823232462972,13.81966659344656,A curr_val,0.7561735261401556,23.214001857046533,0.8531701890989989,5.545044072565849,False
6.25-6.5_f141,30,0.8473859844271412,6.090710039299286,-2.362807308472308,14.063516197112175,A curr_val,0.6826120856568362,41.37152623680912,0.8473859844271412,6.090710039299286,False
ebin5.35_f121,2432,0.9129006718872302,1.487717573033574,0.0313380893556827,8.299046528983148,B legacy_val,0.6934121521417347,4.735954081657393,0.9129006718872302,1.487717573033574,False
ebin5.45_f121,1163,0.8392082476372931,1.7039228636891357,-0.5994349915284657,5.250617348979575,B legacy_val,0.2088200720749752,4.962209726597057,0.8392082476372931,1.7039228636891357,False
ebin5.4_f121,1916,0.8999136666822519,1.807232473088068,-0.0929734258138039,6.766929477298853,B legacy_val,0.6238299714730567,5.327289222964713,0.8999136666822519,1.807232473088068,False
ebin5.5_f121,38,0.6194331983805668,3.983034533152067,-1.3119597705882329,5.987965675741213,B legacy_val,0.078638659212036,11.792802483297294,0.6194331983805668,3.983034533152067,False
ebin5.6_f121,282,0.8937079607660892,1.3289972689563905,1.0281433817962866,3.8903730867044537,B legacy_val,,27.11556391703117,0.8937079607660892,1.3289972689563905,False
