cell,wave,slot,record_id,converged,p_feas,pred_f_r,act_f_r,pred_cbc,act_cbc,pred_f_q,act_f_q,pred_cyclen,act_cyclen,pred_ao,act_ao
E1_E2_f125,3,explore,f6f80082e6ccf92f7373763fd49fc4d6ffbbe74ef732df969acaf7d725207ee8,False,0.0,3.6502,,1331.2484,,4.7589,,625.5694,,0.0607,
E1_E2_f125,3,explore,b94de89dfc117e78b386ccfe375ca897b8d774c92c2f7a920cc9d263f0c58f60,False,0.0,3.5288,,1352.1871,,4.5419,,624.7284,,0.0609,
E1_E2_f125,3,control,9cfc30336e9f880d95656e165ce79a316375b97919aad475022e3795fc42646b,True,0.0,2.2926,2.3442,1300.6529,1296.44,2.6521,3.1951,629.1298,620.202,0.0546,0.076
J1_J2_f117,0,exploit,7fc20a2397323f1f71a4bd99203ec7f6cf203c79ea40e89641143a37b642a9d7,True,0.27,1.5877,1.6999,1225.3218,1191.05,1.9501,2.1282,620.5942,618.699,0.044,0.0435
J1_J2_f117,0,exploit,2aa6b0cfc77da3c6669ed2d7fc6c87967ac24fb1d2b25afda72c9ce08e4a0e8c,True,0.2293,1.5962,1.708,1230.9768,1208.54,1.962,2.1653,620.1413,619.883,0.0445,0.0492
J1_J2_f117,0,exploit,ff4558f667de34ad28ca1b617af4aa59974ad3dde83b07b0a62bdbb90a09fe29,True,0.1995,1.6029,1.7474,1239.797,1216.1,1.971,2.2078,620.4232,608.322,0.0431,0.0419
J1_J2_f117,0,exploit,5a8714eea8fd1e94479223ffe7d9057fc74da96ccc76d6ff9cc211792dc6b8df,True,0.0163,1.6179,1.6639,1238.4768,1220.18,1.9891,2.0771,620.329,618.017,0.0459,0.0442
J1_J2_f117,0,exploit,f2fcf3b688bd468483305320c11b153eedcf0a015c48a5fefdebc56aa53c659a,True,0.1798,1.6098,1.7426,1283.7805,1256.63,1.9697,2.2071,619.797,613.76,0.0384,0.0398
J1_J2_f117,0,explore,68bf0e85bb6cf72cdb51fb36bd637c5b2b9c2d336f688daf7ec5c6438a07dd92,True,0.0,3.884,3.4758,1329.7423,1324.02,4.2152,5.3093,609.522,609.384,0.0534,0.0722
J1_J2_f117,0,explore,2e75f9fc39c0abea64f6a14698dbce7a7c8196fd847f99160d07c15b38d176ad,True,0.0,2.576,2.2728,1274.0381,1247.11,2.9056,3.1648,598.2403,593.972,0.0814,0.1004
J1_J2_f117,0,control,1c19d77df7f3f0bf860e21ca059c2a2dbf55979946e894b574d38893cf3b2414,True,0.0,1.8351,1.9421,1295.3749,1259.99,2.1816,2.4973,620.6205,612.845,0.0431,0.0451
J1_J2_f117,1,exploit,f9d71ac8ca9e3d2d6823c5d1e6d7f36e9b8e8be6caf6d456f013fbfd03f91877,True,0.1537,1.5828,1.6335,1280.1865,1250.99,1.9711,2.0522,621.6874,615.267,0.0432,0.0461
J1_J2_f117,1,exploit,74d45b29f84c0f7f3f2a1b165dfa7741624e704868366fdfdcc3a6d2288eff8f,True,0.053,1.602,1.6612,1252.3885,1220.1,2.0031,2.0969,621.2738,614.73,0.0453,0.0453
J1_J2_f117,1,exploit,00001e0fec99f407494c2089eb1c525acfc17cb01b72a85826b6f630c619b379,True,0.0214,1.6152,1.6489,1251.7369,1205.3,2.0072,2.0886,620.0522,613.932,0.0497,0.0543
