cell,target,n_train,model,rep,rho,n_test
A|ebin5.4_f121,ao_abs,50,gbt,1,0.37273445115663456,800
A|ebin5.4_f121,ao_abs,50,ridge,2,0.4966388136409708,800
A|ebin5.4_f121,ao_abs,50,gbt,2,0.3290551049252869,800
A|ebin5.4_f121,ao_abs,100,ridge,0,0.5864670780221934,800
A|ebin5.4_f121,ao_abs,100,gbt,0,0.45506258708218755,800
A|ebin5.4_f121,ao_abs,100,ridge,1,0.5953890224698589,800
A|ebin5.4_f121,ao_abs,100,gbt,1,0.4361556630976883,800
A|ebin5.4_f121,ao_abs,100,ridge,2,0.6054609066845321,800
A|ebin5.4_f121,ao_abs,100,gbt,2,0.49373434138868333,800
A|ebin5.4_f121,ao_abs,200,ridge,0,0.6044990551425845,800
A|ebin5.4_f121,ao_abs,200,gbt,0,0.4657047276272095,800
A|ebin5.4_f121,ao_abs,200,ridge,1,0.6326823471311974,800
A|ebin5.4_f121,ao_abs,200,gbt,1,0.5819555074618513,800
A|ebin5.4_f121,ao_abs,200,ridge,2,0.6452858051040398,800
A|ebin5.4_f121,ao_abs,200,gbt,2,0.5325491417297866,800
A|ebin5.4_f121,ao_abs,400,ridge,0,0.6528397563514453,800
A|ebin5.4_f121,ao_abs,400,gbt,0,0.66359458235767,800
A|ebin5.4_f121,ao_abs,400,ridge,1,0.6449287304487387,800
A|ebin5.4_f121,ao_abs,400,gbt,1,0.6434553045101178,800
A|ebin5.4_f121,ao_abs,400,ridge,2,0.6514568098443211,800
A|ebin5.4_f121,ao_abs,400,gbt,2,0.6429703323335315,800
A|ebin5.4_f121,ao_abs,800,ridge,0,0.6553345796626495,800
A|ebin5.4_f121,ao_abs,800,gbt,0,0.700351965259502,800
A|ebin5.4_f121,ao_abs,800,ridge,1,0.6776931250284798,800
A|ebin5.4_f121,ao_abs,800,gbt,1,0.7284477657523227,800
A|ebin5.4_f121,ao_abs,800,ridge,2,0.6665443566228128,800
A|ebin5.4_f121,ao_abs,800,gbt,2,0.7188278843510827,800
A|ebin5.4_f121,ao_abs,1600,ridge,0,0.6838231019260236,800
A|ebin5.4_f121,ao_abs,1600,gbt,0,0.7550237647552723,800
A|ebin5.4_f121,ao_abs,1600,ridge,1,0.6768041298413732,800
A|ebin5.4_f121,ao_abs,1600,gbt,1,0.7653580232547351,800
A|ebin5.4_f121,ao_abs,1600,ridge,2,0.6731102294467949,800
A|ebin5.4_f121,ao_abs,1600,gbt,2,0.7481930361072027,800
A|ebin5.4_f121,ao_abs,2400,ridge,0,0.6815745394223842,800
A|ebin5.4_f121,ao_abs,2400,gbt,0,0.7797837501468106,800
A|ebin5.4_f121,ao_abs,2400,ridge,1,0.6815745394223842,800
A|ebin5.4_f121,ao_abs,2400,gbt,1,0.773958599188104,800
A|ebin5.4_f121,ao_abs,2400,ridge,2,0.6815745394223842,800
A|ebin5.4_f121,ao_abs,2400,gbt,2,0.7811656022278776,800
A|ebin5.4_f121,max_assembly_burnup,25,ridge,0,0.47616985896378267,800
A|ebin5.4_f121,max_assembly_burnup,25,ridge,1,0.3002140047040029,800
A|ebin5.4_f121,max_assembly_burnup,25,ridge,2,0.3809889239906704,800
A|ebin5.4_f121,max_assembly_burnup,50,ridge,0,0.420237576780102,800
A|ebin5.4_f121,max_assembly_burnup,50,gbt,0,0.08686587205589592,800
A|ebin5.4_f121,max_assembly_burnup,50,ridge,1,0.4969054062224226,800
A|ebin5.4_f121,max_assembly_burnup,50,gbt,1,0.4102250992632164,800
A|ebin5.4_f121,max_assembly_burnup,50,ridge,2,0.5359262343597033,800
A|ebin5.4_f121,max_assembly_burnup,50,gbt,2,0.35684992774304997,800
A|ebin5.4_f121,max_assembly_burnup,100,ridge,0,0.5904953537939298,800
A|ebin5.4_f121,max_assembly_burnup,100,gbt,0,0.45559826273642234,800
A|ebin5.4_f121,max_assembly_burnup,100,ridge,1,0.4907429960618998,800
A|ebin5.4_f121,max_assembly_burnup,100,gbt,1,0.4401277334551152,800
A|ebin5.4_f121,max_assembly_burnup,100,ridge,2,0.555565467032776,800
