fold,target,d_lo,d_hi,n_pairs,rho_err,delta_err_ratio
new_unseen,f_r,11,16,2369.0,0.06378773977261416,0.9675806220813776
new_unseen,f_r,17,24,4853.0,0.024531393119316156,0.9876581427197791
new_unseen,f_r,25,40,8205.0,-0.02050790665849801,1.0102019138065905
new_unseen,f_r,41,200,71888.0,-0.01701175864144218,1.008470008796217
new_unseen,max_assembly_burnup,5,6,31.0,0.12561092852786976,0.9350877346389108
new_unseen,max_assembly_burnup,7,10,614.0,0.2774352012647158,0.8500381160485004
new_unseen,max_assembly_burnup,11,16,2369.0,0.17417853780283477,0.9087471937767758
new_unseen,max_assembly_burnup,17,24,4853.0,0.004188206403882676,0.9979036995602918
new_unseen,max_assembly_burnup,25,40,8205.0,-0.027042294861007374,1.0134309521921103
new_unseen,max_assembly_burnup,41,200,71888.0,-0.019417764665926384,1.0096622032471683
new_unseen,node_peak,7,10,25.0,0.035956286047328506,0.9818572777917732
new_unseen,node_peak,11,16,146.0,0.06160891658473542,0.9687058807580682
new_unseen,node_peak,17,24,215.0,-0.06462719713731842,1.0318077326407853
new_unseen,node_peak,25,40,676.0,-0.07157180015148566,1.0351675227476398
new_unseen,node_peak,41,200,12352.0,-0.013721685425657366,1.0068374672337423
