cell,e_target,feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_realizability,anchor_n_store_pair_feed,lrm_ceil_efpd,surrogate_ceil,d_surr_minus_lrm,min_pred_f_r,fr_true_min,n_true,fr_pred_minus_true,cyclen_at_fr_min,tier_reached,n_feasible_tier1,n_feasible_tier2,n_feasible_tier3,GAP,DIS,REACH,score,role,n_chains
e5.9_f109,5.9,109,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,실현 확인,156,706.384098,700.43607,-5.948028,1.833799,1.896,156,-0.062201,691.929,none,0.0,0.0,0.0,0.0,0.288965,1.0,0.315586,,0
e5.0_f121,5.0,121,ga80,E1_E2,5.0,실현 확인,1097,631.675199,641.082402,9.407203,1.494328,1.4636,1097,0.030728,633.329,tier1,377.0,775.0,894.0,0.0,0.270529,1.0,0.308212,,0
e5.0_f109,5.0,109,ga80,E1_E2,5.0,실현 확인,177,598.253273,592.829488,-5.423785,1.565375,1.7692,177,-0.203825,574.683,tier2,0.0,123.0,506.0,0.0,0.248528,1.0,0.299411,,0
e5.0_f125,5.0,125,ga80,E1_E2,5.0,실현 확인,450,648.604992,651.025657,2.420665,1.493443,1.5085,450,-0.015057,645.032,tier1,47.0,632.0,836.0,0.0,0.220777,1.0,0.288311,,0
e5.0_f117,5.0,117,ga80,E1_E2,5.0,실현 확인,501,623.273471,627.576756,4.303285,1.511296,1.5368,501,-0.025504,624.63,tier1,70.0,610.0,823.0,0.0,0.217828,1.0,0.287131,,0
e6.3_f125,6.3,125,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,실현 확인,127,816.77489,824.187856,7.412966,1.829787,1.7305,127,0.099287,820.112,none,0.0,0.0,0.0,0.0,0.1424,1.0,0.25696,,0
e5.9_f125,5.9,125,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,실현 확인,164,765.836601,769.335597,3.498996,1.752321,1.8424,164,-0.090079,772.128,none,0.0,0.0,0.0,0.0,0.142331,1.0,0.256932,,0
e5.8_f117,5.8,117,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,실현 확인,318,723.136763,732.335238,9.198475,1.803366,1.7802,318,0.023166,724.124,none,0.0,0.0,0.0,0.0,0.141222,1.0,0.256489,,0
e6.3_f109,6.3,109,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,실현 확인,185,753.368008,750.947854,-2.420154,1.899816,1.8914,185,0.008416,733.914,none,0.0,0.0,0.0,0.0,0.016847,1.0,0.206739,,0
e5.8_f109,5.8,109,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,실현 확인,233,694.107731,692.058327,-2.049404,1.74043,1.8727,233,-0.13227,682.002,tier3,0.0,0.0,44.0,0.0,0.011751,1.0,0.2047,,0
e6.5_f109,6.5,109,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,760.619771,,,,,0,,,,,,,1.0,0.0,0.0,,,0
e6.5_f113,6.5,113,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,777.143178,,,,,0,,,,,,,1.0,0.0,0.0,,,0
e6.5_f117,6.5,117,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,792.430474,,,,,0,,,,,,,1.0,0.0,0.0,,,0
e6.5_f121,6.5,121,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,803.112439,,,,,0,,,,,,,1.0,0.0,0.0,,,0
e6.5_f125,6.5,125,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,824.636994,,,,,0,,,,,,,1.0,0.0,0.0,,,0
e6.5_f129,6.5,129,paramA,P6661Z1G06N12_P6661Z1G10N12,6.364485,실현 불가(격자),0,840.544156,,,,,0,,,,,,,1.0,0.0,0.0,,,0
