cell,e_target,library_id,pair,e_core,feed,is_primary,realizability,anchor_realizability,M_HM_tU,n_store_pair_feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_n_seeded_feeds,anchor_n_store_pair_feed,alpha_B,alpha_C,alpha_source,e_extrapolated,feed_extrapolated,lrm_mean_efpd,lrm_ceil_efpd,lrm_mean_B_cycle,lrm_ceil_B_cycle,lrm_mean_B_d,lrm_ceil_B_d
e5.9_f125,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,125,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,164,1.047269,1.055388,extrapolated_log_feed,True,True,764.948705,765.836601,29.871062,29.905734,57.591407,57.658254
e5.9_f129,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,129,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,12,1.067768,1.075746,extrapolated_log_feed,True,True,779.922246,780.609509,30.455775,30.482612,56.897998,56.948136
e6.0_f109,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,109,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,0.96722,0.973457,fitted,True,False,720.72929,720.283258,28.087867,28.070485,62.102532,62.064099
e6.0_f113,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,113,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,0.987078,0.994604,fitted,True,False,735.526588,735.930411,28.664539,28.680277,61.134106,61.16767
e6.0_f117,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,117,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,1.003856,1.014169,fitted,True,False,748.028807,750.407005,29.151769,29.244451,60.047661,60.23857
e6.0_f121,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,121,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,1.019689,1.02784,fitted,True,False,759.826854,760.522493,29.611556,29.638666,58.978388,59.032385
e6.0_f125,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,125,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,1.047269,1.055388,extrapolated_log_feed,True,True,780.377947,780.905577,30.412462,30.433024,58.635227,58.674871
e6.0_f129,6.0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,129,True,미발견,미발견,102.203,0,paramA,P6257Z1G10N12_P6656Z2G08N12,6.025508,0,0,1.067768,1.075746,extrapolated_log_feed,True,True,795.653509,795.969164,31.007773,31.020074,57.92925,57.952232
e6.1_f109,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,109,True,미발견,실현 확인,102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,332,0.96722,0.973457,fitted,True,False,729.455912,728.795088,28.449836,28.424062,62.902847,62.845863
e6.1_f113,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,113,True,미발견,격자-우회(fallback),102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,0,0.987078,0.994604,fitted,True,False,744.432376,744.627148,29.033939,29.041536,61.921941,61.938142
e6.1_f117,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,117,True,미발견,실현 확인,102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,143,1.003856,1.014169,fitted,True,False,757.085972,759.274817,29.527448,29.612816,60.821495,60.997339
e6.1_f121,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,121,True,미발견,실현 확인,102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,73,1.019689,1.02784,fitted,True,False,769.026871,769.509843,29.99316,30.011997,59.738443,59.775961
e6.1_f125,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,125,True,미발견,실현 확인,102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,251,1.047269,1.055388,extrapolated_log_feed,True,True,789.826798,790.133801,30.804387,30.816361,59.390859,59.413944
e6.1_f129,6.1,paramA,P6656Z1G06N24_P6656Z2G08N12,6.097039,129,True,미발견,격자-우회(fallback),102.124,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,0,1.067768,1.075746,extrapolated_log_feed,True,True,805.287316,805.3754,31.40737,31.410805,58.675784,58.682202
e6.2_f109,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,109,True,미발견,실현 확인,102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,332,0.96722,0.973457,fitted,True,False,741.491091,740.53404,28.933168,28.895824,63.971501,63.888932
e6.2_f113,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,113,True,미발견,격자-우회(fallback),102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,0,0.987078,0.994604,fitted,True,False,756.714649,756.621112,29.527196,29.523546,62.97393,62.966146
e6.2_f117,6.2,paramA,P6656Z1G08N20_P6661Z2G06N16,6.19569,117,True,미발견,실현 확인,102.075,0,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,4,143,1.003856,1.014169,fitted,True,False,769.577015,771.504716,30.029088,30.104308,61.854789,62.009728
